global_step_index,activity,step_index,variation,variation_index,headline,paragraph
1570,Make Jambalaya,2,none,3,Heat up 2 tablespoons of oil over medium-high heat until shimmering.,"Make sure you have a nice large sauce pot, preferably with a thick-bottom.You don't want the oil to start smoking, just shimmering lightly, as if a quiet lake is being disturbed by a light breeze."
1571,Make Jambalaya,3,none,4,"Add the chopped vegetables, a quick pinch (1/2 teaspoon) of salt, and stir well.","Salt should be added in small doses while you cook, as it helps unlock the natural flavors of your ingredients as you're cooking.   You want these vegetables to cook until the onions are slightly see through, or ""translucent."" That said, you should move to the next step while they heat up to stay on time."
1572,Make Jambalaya,4,none,5,Mince any desired jalapenos and garlic and add to your Holy Trinity.,"Now that your base is completed, you can start making it your own. Chop up 1-2 jalapeno peppers and 3-5 cloves of garlic, depending on taste. Cut them up about half as large as the vegetables above, and toss them into the hot oil to cook for 1-2 minutes.   Try to time your additions so that the onions, peppers, and celery finish cooking (remember -- translucent) at the same time as the finely chopped garlic and peppers. The seeds of jalapenos are the hottest part, so you can scrape a few of them out if you're worried about it being too hot."
1573,Make Jambalaya,5,none,6,"Toss the meat in (EXCEPT the shrimp), add a pinch of salt, and stir.","Toss in everything but the prawns and let them cook until they are almost finished. Use the chicken as your marker, as it takes longer than the rest and it is easiest to see when it is finished cooking (no more pink flesh). This should take roughly 5-7 minutes, depending on how small you cut the meat.If you have raw, unsmoked sausage, you might consider partially cooking it first. When it is still a little pink, remove it and cook the Holy Trinity in the remaining sausage fat, then add the meat back in with the chicken. If things are sticking, add an extra 1/2 tablespoon of oil, let it heat for 10 seconds or so, then add in the meat."
1574,Make Jambalaya,6,none,7,Heat up your 3-4 cups of broth or stock while the meats finish cooking.,"You can add it cold, but this literally halts the cooking process until the pot can get back up to heat. It is best to preheat your broth first."
1575,Make Jambalaya,7,none,8,"Add the stock, can of crushed tomatoes, and stir until the liquid is simmering.","A simmer is when the bubbles are constantly breaking the surface of the liquid. If you preheated the stock, this should happen quickly. Use your wooden spoon to scrape up any bits stuck to the bottom when the liquid hits -- these give the jambalaya it's appealingly dark, rich color."
1576,Make Jambalaya,8,none,9,"Lower the heat to medium-low and add your spices, stirring well.","This is where you really can make the jambalaya your own, customizing it to your taste buds and preferences. The following spices can all be mixed and matched in any quantities you want, but the basics illustrated here are a good place to start. If you're really lost, try purchasing a Cajun or Creole spice blend from your local supermarket instead:   1/2 teaspoon black, white, red, and/or cayenne pepper (heavier on the cayenne) 1 bay leaf 1/2 teaspoon smoked paprika 1 teaspoon thyme and/or Oregano 1/2 teaspoon cracked red pepper flakes A pinch more salt 1/2 teaspoon garlic and/or onion powder"
1577,Make Jambalaya,9,none,10,"Add the rice, cover the pot, and simmer for a half hour, stirring occasionally.","Check the rice starting at 20-25 minutes, stirring every few minutes to prevent the rice on the bottom from burning. As it cooks, the rice should absorb all of the liquid, leaving you with a big, creamy, and flavorful rice dish. If the rice isn't cooked completely and the water is all gone, add another 1/2 cup or so to finish cooking.   Try not to remove the lid for long, as this releases the steam needed to cook the rice. Give it a quick stir every 3-4 minutes and then get the lid right back on."
1578,Make Jambalaya,10,none,11,"Add the shrimp once the rice is almost done, covering the pot again to cook the prawns.","As the rice is getting done, stir in the shrimp and let them cook until they are pink throughout and completely cooked. Use this time to test the spices as well, adding a dash of salt and some seasoning if you desire it."
1579,Make Jambalaya,11,none,12,"Garnish with hot sauce, green onions, and/or parsley and serve hot.","Most Cajun dishes will come with all three options on the table. Some people even love a bright, acidic punch of a lemon slice. Of course, this is all up to your personal preference, but know that these ingredients will certainly up the ""authentic"" factor of your dish."
1580,Make Bannock,0,none,1,Mix some all-purpose white flour in a bowl,"you can add in a handful of cornmeal or whole other grain (wheat, multi-grain, oat, corn).."
1581,Make Bannock,1,none,2,Add in a small (appropriate to size of bowl) fistful of baking powder and mix it in.,"(People who insist on measuring things, which is somewhat antithetical to the basic idea of bannock—can add 1 teaspoon baking powder per cup of flour. If making breakfast or cake bannock, add 1 tablespoon sugar per cup of flour.)"
1582,Make Bannock,2,none,3,"Make a well in the middle of the flour and fill it with some liquid: filtered water, and stir it in gently with a spoon or fork to make a soft ball of dough.","You might have to add more liquid as you stir. You put in lard into the mixture as well, about 1/2 cup."
1583,Make Bannock,3,none,4,"When the liquid is incorporated, gently knead the dough to mix in more of the flour in the bowl and even out the texture.",
1584,Make Bannock,4,none,5,"Sprinkle flour on a a clean tablecloth or sheet and plop the dough on there and shape it, allowing a dusting of flour to remain, to go on a cookie sheet into the oven.",
1585,Make Bannock,5,none,6,Prick the top a dozen or so times with a fork or the mixing spoon so it bakes evenly and there are no doughy spots.,Also spread butter all over the top with a brush before putting into the oven
1586,Make Bannock,6,none,7,"Bake for about 45 minutes at 375 (some put it in at 450 for 5 minutes, then turn down to 350 degrees) or when crust is golden.",
1587,Make Bannock,7,none,8,"Allow to cool for at least ten minutes, then eat with jam or butter or cinnamon and sugar.",
1588,Make a Shrimp Po Boy Sandwich,0,none,1,"Get a small bowl and mix the lemon juice, mayonnaise, and Tabasco sauce together.",Place the bowl on the side for later use.;
1589,Make a Shrimp Po Boy Sandwich,1,none,2,"Mix all of the spices (garlic powder, oregano, cayenne, paprika, and thyme) in another bowl.",Sprinkle a dash of salt and pepper in there as well.
1590,Make a Shrimp Po Boy Sandwich,2,none,3,Cover the shrimp pieces very well into the spice bowl from the last step.,The amount of spices on the shrimp is up to you.
1591,Make a Shrimp Po Boy Sandwich,3,none,4,Oil and heat a frying pan while you add the coated shrimp pieces.,Remove them from the heat when both sides achieve a good reddish color.
1592,Make a Shrimp Po Boy Sandwich,4,none,5,Take the bread halves and spread your mayonnaise on them.,Place a few tomato slices and lettuce pieces evenly throughout the bread piece.
1593,Make a Shrimp Po Boy Sandwich,5,none,6,Distribute the shrimp mixture evenly onto the lettuce and tomatoes.,Put the two bread pieces together and enjoy.
1594,Make Chocolate Covered Potato Chips,0,none,1,Select the chips.,"You can use plain chips with no added flavoring, or choose your favorite flavoring for something unusual, such as chili or sour cream and chives.   Potato chips aren't the only choice––you might also like to try sweet potato, cassava, beetroot, etc. chips. Whether the chips are smooth or ridged is up to you. Both types work fine.;"
1595,Make Chocolate Covered Potato Chips,1,none,2,Choose the chocolate.,"Milk, dark or white chocolate are all appropriate for covering the chips. Select the one you like the most."
1596,Make Chocolate Covered Potato Chips,2,none,3,"Line a tray or baking sheet with wax, parchment, or greaseproof paper.","Or, use foil. This is where the dipped chips will rest to set."
1597,Make Chocolate Covered Potato Chips,3,none,4,Melt the chocolate.,"Before dipping, the melted chocolate should appear glossy (tempered)."
1598,Make Chocolate Covered Potato Chips,4,none,5,Dip the chips into the melted chocolate.,"Half the chip: Dip halfway to cover one half in chocolate. Lift it up and allow excess chocolate to drip back (if it's really excessive, scrape against the side of the melted chocolate bowl). All of the chip: Hold the chip with a pair of tongs and dip the entire chip into the melted chocolate. Lift it up and allow excess chocolate to drip back (if it's really excessive, scrape against the side of the melted chocolate bowl)."
1599,Make Chocolate Covered Potato Chips,5,none,6,Rest on the prepared tray.,Repeat with as many chips as you want to cover in chocolate.
1600,Make Chocolate Covered Potato Chips,6,none,7,Add extra flavor if desired.,"Before the chocolate sets, you can sprinkle on flavoring. Suggestions include smoky paprika, cinnamon, cayenne pepper, superfine sugar, ground ginger, chocolate sprinkles, desiccated coconut, chopped dried fruit, etc. You could even drizzle over zigzag lines of melted chocolate in a lighter or darker shade."
1601,Make Chocolate Covered Potato Chips,7,none,8,Place the tray or sheet into the refrigerator.,"Let sit for 10-15 minutes to set the chocolate. Remove after this time has passed, to avoid making the chips soggy."
1602,Make Chocolate Covered Potato Chips,8,none,9,Serve.,Place in a lined basket or on a plate and set out for people to help themselves to.
1604,Make a Cheese Soufflé,0,none,1,Melt the butter in saucepan and add the flour to make a roux.,This is just like making an ordinary white sauce.;
1605,Make a Cheese Soufflé,1,none,2,Add the milk in batches and stir or whisk well until smooth and thickened.,"Keep stirring to prevent burning. It is important to cook the flour taste out of the soufflé sauce, just like an ordinary white sauce as this ensure a lovely smooth soufflé at the table."
1606,Make a Cheese Soufflé,2,none,3,Take the sauce off the heat and add the cheese and beat well until melted.,"Once it has cooled to approximately blood temperature, add the egg yolks. The temperature is just warm enough that the sauce is still soft and smooth, but not hot enough to cook the egg yolks. Stir well to ensure the yolks are smoothly blended in."
1607,Make a Cheese Soufflé,3,none,4,Allow to cool.,"You may refrigerate this sauce overnight as well, which makes the process much easier when preparing soufflés for a special event. On the next day, allow it to come to room temperature and (as the sauce would have set), stir the sauce until smooth again."
1608,Make a Cheese Soufflé,4,none,5,Preheat your oven to 200C / 395F.,"Remove all top racks and have the rack at the lower part of the oven. Look at your soufflé dish and estimate its height twice over - the soufflé may rise this much so will need this much room in the oven. It is preferable to cook the soufflé without the oven fan on as the fan can make the soufflé rise unevenly, overcook one side or even push the semi-cooked light batter over the side of the dish. If you have an oven thermometer, use that to ensure your oven is heating to the right temperature. If you serve the soufflé and it is undercooked and very runny in the middle, simply scoop out the cooked portions and serve those. Just like cakes, soufflés unfortunately don't rise again if you put them back in the oven to cook a little more."
1609,Make a Cheese Soufflé,5,none,6,Liberally butter the inside and top rim of a soufflé dish.,You want the top rim to be coated to prevent the souffle sticking and rising lopsided.
1610,Make a Cheese Soufflé,6,none,7,Coat the soufflé dish with breadcrumbs.,Add the breadcrumbs to the dish and swirl to cover the base. Then tilt the dish and continue turning it to cover. Tip the dish slightly downwards to get the surplus out towards the sides.
1611,Make a Cheese Soufflé,7,none,8,Have your soufflé dish and base sauce ready at room temperature.,"Beat the sauce again to ensure it is as smooth or ""soft"" as possible as that will make incorporating the egg whites much easier and make a more successful soufflé."
1612,Make a Cheese Soufflé,8,none,9,Whisk the egg whites in a clean bowl with a clean whisk until stiff peaks form.,"You can use electric beaters on a low setting and the whites should form stiff peaks when you lift the whisk or beater out. If it flops quickly or forms a ribbon trail, keep beating a little longer."
1613,Make a Cheese Soufflé,9,none,10,"Using a large spoon, stir 1/4 to 1/3rd (precision is not essential) of the white into the sauce.","Using the spoon or the whisk stir gently to incorporate the whites, be gentle, but the first batch of whites is slightly ""sacrificial"" so they won't need to retain their light fluffiness."
1614,Make a Cheese Soufflé,10,none,11,Scoop deep into the sauce bowl to ensure it all gets mixed.,"When well incorporated, fold in the remainder of the whites and fold through. Be more gentle on this batch."
1615,Make a Cheese Soufflé,11,none,12,Transfer the batter into the soufflé dish.,"If desired,lightly run your finger around the outside edge of the batter without disturbing the crumbs. It's not essential, but can make a nice ""top hat"" style finish."
1616,Make a Cheese Soufflé,12,none,13,Place into the oven.,"Bake for 15-20 minutes until well risen and golden. Only open the oven door when you are ready to serve to prevent them sinking. If you prepared them in individual ramekins, it is 8-10 minutes as a rule. Ideally the soufflé will have a tender, semi-molten centre and with practice you can refine your skills to recognise when the soufflé has reached this stage. If it is too runny, it is a sign your oven is not efficient at retaining heat, or it may have an inaccurate thermostat."
1617,Make a Cheese Soufflé,13,none,14,"Before you serve them, gather the diners as these really will not wait.","If the kitchen is not on the same floor as the dining room, it may be best to gather guests in the kitchen. Serve immediately with a crisp salad, bread or as is. A good trick is to serve the soufflé dish on a heated serving plate, or at minimum a cork or silicon mat to prevent them cooling (and sinking) quickly. Scoop each portion out onto the plate using a sharp knife and a spoon, or allow guests to eat directly from their own ramekin."
1618,Make Nigerian Spicy Cow Foot (Nkwobi),0,none,1,Cut the cow foot into medium chunks.,Your butcher may be willing to cut it for you.
1619,Make Nigerian Spicy Cow Foot (Nkwobi),1,none,2,Put the powdered potash into a bowl.,Add a small quantity of water (about 4 tablespoons) and stir well. Pass it through a fine sieve and set the liquid aside.    potash
1620,Make Nigerian Spicy Cow Foot (Nkwobi),2,none,3,Cut 1 onion into four big chunks.,ONION
1621,Make Nigerian Spicy Cow Foot (Nkwobi),3,none,4,Pound the pepper with a mortar and pestle or blitz it.,
1622,Make Nigerian Spicy Cow Foot (Nkwobi),4,none,5,Grind the crayfish.,
1623,Make Nigerian Spicy Cow Foot (Nkwobi),5,none,6,Crack and remove the outer shell of the Calabash nutmeg (ehu).,"Grind with a dry mill, for example, a coffee grinder."
1624,Make Nigerian Spicy Cow Foot (Nkwobi),6,none,7,Wash and put the cow foot chunks in a pot.,Add the stock cubes (crushed) and the chunks of onion.
1625,Make Nigerian Spicy Cow Foot (Nkwobi),7,none,8,Add a small quantity of water and start cooking at medium heat till well cooked.,Add just enough water to prevent burning as you cook. There should not be any stock (water) left in the pot when the meat is done.
1626,Make Nigerian Spicy Cow Foot (Nkwobi),8,none,9,"While the meat is cooking, pour the palm oil into a clean dry pot.",Pour in the potash mixture (sieved) into the oil.
1627,Make Nigerian Spicy Cow Foot (Nkwobi),9,none,10,Stir with a wooden spatula as you pour the potash.,You'll notice the palm oil begin to curdle and turn yellow. Keep stirring till all the oil has turned yellow.
1628,Make Nigerian Spicy Cow Foot (Nkwobi),10,none,11,"Add the ground crayfish, pepper and Calabash nutmeg (ehu) seeds.","Stir well until they are all incorporated. When the meat is done, add the salt, stir and cook till all the water has dried."
1629,Make Nigerian Spicy Cow Foot (Nkwobi),11,none,12,Add the well-done cow's foot to the palm oil paste and stir well with the wooden spatula.,"Put it back on the stove/cooker and heat till the spicy cow foot (Nkwobi) is piping hot, stirring all the time to make sure it does not burn."
1630,Make Nigerian Spicy Cow Foot (Nkwobi),12,none,13,"To prepare the garnish, cut the onions into rings and cut the Gongronema latifolium leaves (utazi) into long thin slices.",
1631,Make Nigerian Spicy Cow Foot (Nkwobi),13,none,14,Serve the spicy cow foot (Nkwobi) dish in a wooden mortar.,Add the thin slices of utazi and onion rings on top for the full effect.
1632,Make Nigerian Spicy Cow Foot (Nkwobi),14,none,15,Finished!,"This dish is best served with chilled drinks, such as palm wine, beer, or stout and soft drinks."
1633,Make Banana Raspberry Pie,0,none,1,"Mix the sugar, cornstarch, salt, and cinnamon in a large bowl.",Then add the more delicate ingredient (the raspberries) after these items are well mixed. This will help to try to avoid breaking them apart or squishing them as you mix.;
1635,Make Banana Raspberry Pie,2,none,3,Take the first pie crust.,"Mush it into a dough form, flatten it, and cut it into several 1⁄2 inch (1.3 cm) strips. If you have trouble turning the pie crust into dough, sprinkle it with water until it cooperates."
1636,Make Banana Raspberry Pie,3,none,4,Take the second pie crust.,"Brush the inside of the pie crust, especially the center, with a thin layer of egg white. This will keep the crust from getting soggy later."
1638,Make Banana Raspberry Pie,5,none,6,Set your oven to preheat at 350ºF.,"From this point, you need to work quickly so that your oven does not get too hot before you put the pie in."
1639,Make Banana Raspberry Pie,6,none,7,"Pour the pie filling, which has been sitting in the refrigerator, into the pie crust (over the top of the bananas).",Smooth it with the rounded side of a big spoon.
1640,Make Banana Raspberry Pie,7,none,8,"Create a lattice top on the pie, using the strips prepared in Step 3.","With a fork, press the ends down onto the crust. Use a little bit of water to help stick if they do not stick of their own accord."
1641,Make Banana Raspberry Pie,8,none,9,Brush the lattice top strips with egg white and sprinkle with sugar and cinnamon.,
1643,Make Banana Raspberry Pie,10,none,11,Place the pie into the center of the oven.,Cook for 50 minutes.
1645,Make Garlic Parmesan Chicken Wings,0,none,1,Cut chicken breast into bite sized cubes.,Use hygienic techniques. Clean the chicken before cutting. Wash your hands before and after handling raw meat. Clean the surfaces the chicken touched. Do not allow the chicken to come into contact anything else.;
1646,Make Garlic Parmesan Chicken Wings,1,none,2,Place the wings into a bowl.,"Add the salt, pepper, garlic powder, and chili powder. Mix well."
1647,Make Garlic Parmesan Chicken Wings,2,none,3,Place flour and eggs into separate bowls.,"Dip chicken into the flour, then eggs, and back into the flour."
1648,Make Garlic Parmesan Chicken Wings,3,none,4,Heat oil in a pan at medium-high heat.,"Carefully place the chicken into the pan. Do not put in to much chicken in, leave some space for each piece to cook."
1649,Make Garlic Parmesan Chicken Wings,4,none,5,Fry the chicken until golden brown (8-10 minutes).,"When the chicken is cooked, it will rise in the oil. If you still are not sure that it is fully cooked cut the chicken in half, if it is pink leave it for another minute."
1650,Make Garlic Parmesan Chicken Wings,5,none,6,"In a pan over medium heat, cook the butter, garlic, and parsley together until garlic is just starting to brown.",
1651,Make Garlic Parmesan Chicken Wings,6,none,7,Turn off the heat and add in the chicken and the Parmesan.,Mix well.
1652,Make Garlic Parmesan Chicken Wings,7,none,8,Enjoy!,
1653,Make Garlic Parmesan Chicken Wings,8,none,9,Mix the dry seasoning together.,"Add in the basil, oregano, thyme, black pepper, salt, and red pepper flakes."
1654,Make Garlic Parmesan Chicken Wings,9,none,10,"Mix the garlic, mayonnaise, Parmesan, apple cider vinegar, and lemon juice.",Add dry seasoning to your taste.
1655,Make Garlic Parmesan Chicken Wings,10,none,11,Refrigerate the sauce overnight.,
1656,Make Garlic Parmesan Chicken Wings,11,none,12,Pour onto wings and mix well.,Enjoy!
1657,Make Cream of Asparagus Soup,0,none,1,"Wash the asparagus spears thoroughly, to make sure any grit has been removed from the flower head at the top.",;
1658,Make Cream of Asparagus Soup,1,none,2,Peel the onion and chop roughly.,Then peel and crush the garlic.
1659,Make Cream of Asparagus Soup,2,none,3,Melt the butter in a large pan with the olive oil (this stops the butter burning).,Add the onion and garlic and sauté gently for 5 minutes.
1660,Make Cream of Asparagus Soup,3,none,4,Chop the asparagus spears into 2 inch chunks and add to the pan.,Continue to sauté for a further 5 minutes.
1661,Make Cream of Asparagus Soup,4,none,5,Add the stock.,"Cover the pan and simmer gently for 5-10 minutes, until the asparagus is soft."
1662,Make Cream of Asparagus Soup,5,none,6,Liquidize until smooth.,"You can sieve the soup, if you want a smoother texture."
1663,Make Cream of Asparagus Soup,6,none,7,Add the lemon juice and the herbs and mix well.,Season with salt and pepper to taste. Then add the cream and reheat gently before serving.
1664,Make Crawfish Etouffe,0,none,1,Chop your vegetables.,"Use equal amounts of celery, onion and green bell peppers (1/2 to 1 cup each) add a couple cloves of chopped garlic. Set aside.;"
1665,Make Crawfish Etouffe,1,none,2,Make your roux.,"This step is found in many Cajun recipes, and it involves browning the flour that is the thickening ingredient for the ""gravy"" the Crawfish are cooked in. Place equal amounts of cooking oil and all purpose flour in a large cast iron skillet over medium heat (1/2 cup is about right for this dish). Stir continuously until the flour is browned, keeping it from overcooking or scorching. The color of the roux is very important. A good Etouffee roux should be the color of shelled pecans."
1666,Make Crawfish Etouffe,2,none,3,"Once the roux has achieved the color you desire, immediately remove from heat and add the chopped vegetables, stir until the vegetables are soft.",This is very important to stop the roux from continuing to cook and burning.
1667,Make Crawfish Etouffe,3,none,4,Add 3/4 cup chicken broth or similar stock and bring to simmering boil in skillet.,
1668,Make Crawfish Etouffe,4,none,5,"Add enough of your roux you prepared earlier to achieve the consistency you desire, saving the rest in a glass jar for your next Cajun cooking adventure.","Simmer until the roux is completely dissolved and the liquid in the pot is thickened. It should be the consistency of a regular gravy, without lumps and uniform in color and texture. Add salt and pepper to taste. The best flavor is achieved by mixing red, white and black pepper in quantities to suit your own taste."
1669,Make Crawfish Etouffe,5,none,6,"Add one pound of cleaned, or packaged Crawfish tails, simmer for 10-15 minutes.",
1670,Make Crawfish Etouffe,6,none,7,"Remove from heat, spoon over a bed of cooked rice, and serve.",
1671,Make Caldo De Camaron,0,none,1,"Combine the water, herbs, and vegetables.","Pour the water into a large saucepan. Add the flat-leaf parsley, thyme, Mexican oregano, 1/2 a medium onion, 2 carrots, 2 cloves of garlic, and 2 stalks of celery. Place the saucepan on the stove and heat on high until the water boils."
1672,Make Caldo De Camaron,1,none,2,Add the fish head and bones.,"Stir these new ingredients into the mixture. Allow the contents of the saucepan to reach a rolling boil again before reducing the heat to medium-low.   If possible, use bones from lean fish, like bass or cod, and avoid oily fish, like salmon."
1673,Make Caldo De Camaron,2,none,3,Simmer for 15 minutes.,"With the liquid barely at a simmer, allow the stock to cook uncovered for 15 minutes, stirring occasionally.   During this time, the flavors should blend together, creating a more flavorful stock. If you want the flavor to be even stronger, you can simmer the broth up to 40 minutes. Never let it return to a boil after its initial simmer, however, since fish stock can quickly become cloudy if it gets too hot or cooks for too long."
1674,Make Caldo De Camaron,3,none,4,Strain.,"Pour the contents of the saucepan through a large, heavy strainer or colander. Reserve the liquid for use as stock in your caldo de camaron recipe. Discard the solid ingredients, including the vegetables and fish bones.   If necessary, remove the fish bones by hand before straining the rest of the liquid. Fish bones can sometimes get caught in the holes of a strainer, clogging them up and preventing the liquid from flowing through readily. Note that this stock can be prepared in advance. If you opt to make the stock before you prepare the rest of the soup, pour the finished stock into an airtight container and refrigerate it for up to four days."
1675,Make Caldo De Camaron,4,none,5,Cover the shrimp in cold water.,"Place the dried shrimp in a medium stockpot and cover them with cold water. Allow the shrimp to sit for 15 minutes.When done, drain the water through a colander and rinse the shrimp. Return the drained and rinsed shrimp to the stockpot. This step is important if you are using dried shrimp or other packaged shrimp. Soaking and rinsing the shrimp before cooking it can help remove any distortions in taste that may have developed during the packaging process."
1676,Make Caldo De Camaron,5,none,6,Let the shrimp simmer in fresh water.,"Cover the shrimp with 1 cup (250 ml) of cold water, or enough water to cover them completely. Bring the contents of the pot to a boil on medium-high heat, then reduce the heat to medium and let the shrimp gently simmer for 5 to 10 minutes."
1677,Make Caldo De Camaron,6,none,7,Strain the liquid.,"Pour the contents of the stockpot through a colander. Reserve both the shrimp and liquid, but set them aside separately.   The water in which you boiled the shrimp has been flavored with the taste of shrimp. You will add this to your stock just before you finish the soup for an added hint of shrimp in the taste of the broth."
1678,Make Caldo De Camaron,7,none,8,"Remove the heads, tails, and legs.","Allow the shrimp to cool until you can safely handle them with your hands. Peel off the heads, tails, and legs before setting the cooked shrimp aside.   You can yank out the legs and head with your fingers. Similarly, you can pinch the tail and gently pull it off the body using only your fingers. You can remove the shells if desired, but you could also leave the shells on if you want the soup to have a little crunch to it. If you want to peel the shrimp, however, pinch the shell between your fingers starting at the head end of the shrimp. Pull the shell down and off the body of the shrimp using gentle pressure."
1679,Make Caldo De Camaron,8,none,9,Remove the stems and seeds from the chiles.,"Use a knife to cut out the stems and ribs, removing the seeds along with them in the process.   Work carefully. Use food-grade plastic gloves to handle the chiles if you want to avoid getting any of the hot juice on your hands, since the chiles could cause mild skin irritation. Wash your hands well after handling the chiles. Do not touch your eyes before washing your hands, since doing so will cause your eyes to burn."
1680,Make Caldo De Camaron,9,none,10,Toast the chiles.,"Heat a large, dry skillet on medium-high for 2 minutes. Place the chiles on the skillet and toast, 10 to 15 seconds, before flipping them over to the other side and toasting another 10 seconds.   Turn the chiles using tongs. The chiles should brown to the point of charring on both sides. You do not want the entire side to blacken, though. Ideally, the chiles should only be exposed to the heat long enough for a few dark brown spots to develop."
1681,Make Caldo De Camaron,10,none,11,Add the other sauce ingredients.,"Place the tomatoes, garlic, and remaining onion half in the skillet along with the chiles. Cover with water, and let simmer on medium heat for 10 minutes.   Stir the contents of the pan occasionally to prevent them from sticking to the bottom of the skillet."
1682,Make Caldo De Camaron,11,none,12,Puree the sauce.,"Transfer the contents of the pan to a blender or food processor. Puree the ingredients together on high speed until a thin sauce forms.   If you have a handheld electric blender, you could use that instead of a standing blender or food processor. No matter what tool you use, though, try to make the sauce as smooth and thoroughly blended as possible."
1683,Make Caldo De Camaron,12,none,13,Heat the oil in a large stockpot.,"Add the oil to a large stockpot and let it heat for a minute or so on medium temperature.   The oil does not need to be sizzling hot, but it should be warm enough to spread over the bottom of the pot evenly as you turn and rotate the dish."
1684,Make Caldo De Camaron,13,none,14,"Pour the sauce into the pan, directly over the oil.","Allow the sauce the simmer uncovered for 8 to 10 minutes. It should become thicker during this time.   Use the rounded bottom of a ladle to smooth the sauce over the oil in an even layer. Keep the stockpot uncovered during this time. By keeping the stockpot uncovered, you allow more of the liquid to evaporate, thus causing the sauce to thicken. If you cover the stockpot, though, the liquid stays trapped inside, and the sauce will stay thin."
1685,Make Caldo De Camaron,14,none,15,Add the cooking liquid from the shrimp.,"Pour the liquid you reserved upon straining the shrimp into the stockpot. Mix well to combine it with the sauce and cook for an additional 2 minutes, or until the liquid starts to simmer gently."
1686,Make Caldo De Camaron,15,none,16,Add the remaining soup ingredients.,"Pour in the fish stock, then add the potatoes, carrots, and shrimp. Simmer on medium-high heat for 10 minutes, or until the potatoes and carrots are just barely soft enough to pierce with a fork.   To ensure that your soup cooks well enough within these 10 minutes, cut your carrot slices and potato cubes into pieces that are bite-size to half-bite-size. If you make these pieces any larger, they may take longer to cook. Cooking the soup for much longer than 10 to 15 minutes, however, can result in overcooked shrimp and overly thickened broth."
1687,Make Caldo De Camaron,16,none,17,Serve hot.,"The caldo de camaron is done. Ladle the hot soup into individual serving bowls and garnish each serving with chopped avocado, chopped red onion, fresh chopped cilantro, and a squeeze of fresh juice from a lime wedge.Store any leftover soup in the refrigerator or freezer.It should last for 3 days in the refrigerator or up to 1 month in the freezer. To successfully store the soup:  Fill your sink with cold water and add a tray or two of ice. Dunk the bottom of the soup pot in the water to cool the leftover soup quickly. Pour the extra soup in the freezer-safe plastic bags. Label each bag with the contents and current date. Place the bags in your refrigerator to cool or lay them flat in your freezer. Freeze them in a single layer initially, and stack the bags in your freezer once the soup has frozen solid. Thaw frozen soup overnight in the refrigerator. Reheat the soup over low to medium-low heat, stirring occasionally, before serving."
1688,Make Fanesca,0,none,1,Place the fish in a large bowl filled with water.,;
1689,Make Fanesca,1,none,2,Soak the fish for 4 hours and then empty the water from the bowl.,
1690,Make Fanesca,2,none,3,Refill the bowl with fresh water.,
1692,Make Fanesca,4,none,5,Heat the oil in a large stockpot or Dutch oven.,
1693,Make Fanesca,5,none,6,"Add the onion, garlic, green pepper and cilantro, cooking and stirring with a wooden spoon for 2 to 3 minutes.",
1694,Make Fanesca,6,none,7,Add the salted codfish and cook for another 5 minutes.,
1695,Make Fanesca,7,none,8,Add the fish stock and simmer the liquid for 10 minutes.,
1697,Make Fanesca,9,none,10,"Add the sliced corncobs, the corn, broad beans, Andean beans, lentils and milk.","Cook the soup for 6 to 8 minutes, stirring occasionally."
1698,Make Fanesca,10,none,11,"Add the rice, cooked pumpkin, and the frozen peas and carrots and cook the soup for an additional 5 minutes.",
1699,Make Fanesca,11,none,12,"Add the 1/2 pound (277 g) of diced pumpkin, cabbage, carrot sticks and cauliflower to the pot and stir to incorporate them into the stew.",
1700,Make Fanesca,12,none,13,Add the reserved shredded codfish and cook and stir the soup for 4 more minutes.,
1701,Make Fanesca,13,none,14,"Taste the soup for seasonings, adding salt and pepper as needed.",
1702,Make Fanesca,14,none,15,Serve the soup topped with hard boiled egg slices and chopped cilantro for garnish.,
1703,Make Caponata,0,none,1,Wash the eggplants.,"Leave the skin on unless the eggplants are very tough (older, larger ones).;"
1704,Make Caponata,1,none,2,Dice the eggplant.,
1705,Make Caponata,2,none,3,Sprinkle salt over the eggplant pieces.,"Leave them salted for half an hour, sitting in a strainer. This will allow the juices to run."
1706,Make Caponata,3,none,4,Rinse off the salt.,Dry the eggplant pieces on kitchen paper towel.
1707,Make Caponata,4,none,5,Fry the eggplant pieces in hot olive oil.,They should be cooked until they brown and are tender. Drain again on kitchen paper towel and set to one side.
1708,Make Caponata,5,none,6,Fry the onion.,Use the same pan with a dash more olive oil. Fry until golden in color.
1709,Make Caponata,6,none,7,Add the tomatoes and season with salt and pepper.,Leave to simmer gently for 15 minutes.
1710,Make Caponata,7,none,8,"Blanch the capers, olives and celery for 1 minute.",Drain them and add them to the simmering tomato mixture.
1711,Make Caponata,8,none,9,Pour in the vinegar and sugar.,Stir the sugar through evenly. Leave to simmer gently for another 15 minutes. During this time the sauce should reduce.
1712,Make Caponata,9,none,10,Remove from the heat.,Add the eggplant pieces and stir through evenly.
1713,Make Caponata,10,none,11,Let the caponata stand for a minimum of 30 minutes.,"The longer it is permitted to marinade, the better, so that the flavor infuses through."
1714,Make Caponata,11,none,12,Serve in a small dish.,Sprinkle the cut parsley over the top as a garnish. Provide small crackers or pieces of bread for eating with the caponata.
